Name,Assembly Code,MF_Number
L Shaped Precast Beams,B1010215,
T Shaped Precast Beams,B1010214,
Abbreviations and Acronyms,Z104030,01 42 13
Acceptance of Conditions,Z107010,01 71 16
Access Control,D701010,28 13 00
Access Control and Intrusion Detection Detection,D7010,28 10 00
Access Control Global Applications,D701010,28 13 13
Access Control Hardware,D701010,08 74 00
Access Control Identification Management Systems,D701010,28 13 43
Access Control Interfaces,D701010,28 13 33
Access Control Remote Devices,D701010,28 13 26
Access Control Systems and Database Management,D701010,28 13 16
Access Control Systems Infrastructure,D701010,28 13 19
Access Control Vehicle Identification System,D701010,28 13 63
Access Doors and Panels Interior,C103080,08 31 00
Access Flooring,C106010,09 69 00
Accessories,E205040,12 40 00
Accessories Interior Landscaping,E201090,12 92 43
Accessories Planting,G208050,32 94 00
Accessories Roof,B302010,07 72 00
"Accessories Toilet, Bath, and Laundry",C109040,10 28 00
Accordion Folding Partitions,C101050,10 22 33
Acid-Resistant Flooring,C203030,09 62 35
Acoustic Insulation,,09 81 00
Acoustic Insulation Interior Partitions,C101090,09 81 00
Acoustic Insulation Plaster and Gypsum Board Ceilings,C107020,09 81 00
Acoustic Insulation Suspended Ceilings,C107010,09 81 00
Acoustic Room Components,C205080,09 84 00
"Acoustic Underlayment, Flooring",C203090,09 60 13
Acoustic Wall Coating,C201080,09 83 13
Acoustical Ceiling Components,C3030240,
Acoustical Ceiling Treatment,C205080,
Acoustical Ceilings,C3030210,
Acoustical Metal Decking,C205080,05 34 00
Acoustical Metal Floor Decking,B101020,05 34 00
Acoustical Metal Roof Decking,B102020,05 34 00
Acoustical Shells,E107010,11 61 13
Acoustical Suspended Ceilings,C107010,09 51 00
Acoustical Wall Treatment,C201080,
Administrative Requirements,Z1020,01 30 00
Adobe Unit Masonry,,04 24 00
Advertisements,302010,00 11 00
Advertising,205010,
Aerial Cable Installation Hardware,G501010,33 81 23
Aerobic Processes Decontamination,G105025,02 54 13
Aggregate Surfacing,,32 15 00
Aggregate Surfacing Aviation,G204010,32 15 00
Aggregate Surfacing Parking Lot,G202010,32 15 00
Aggregate Surfacing Pedestrian,G203010,32 15 00
Aggregate Surfacing Roadway,G201010,32 15 00
Agreement Form Supplements,401035,00 54 00
Agreement Forms,401030,00 52 00
Agricultural Equipment,E109030,11 92 00
Agricultural Irrigation,E109040,32 86 00
Agricultural Waste Clean-Up Equipment,E109030,11 92 23
Air Barriers,,07 27 00
Air Barriers Exterior Wall,B201080,07 27 00
Air Barriers Floor Construction,B101090,07 27 00
Air Barriers Roof Construction,B102090,07 27 00
Air Barriers Roofing,B301090,07 27 00
Air Barriers Temporary,Z105040,01 56 13
Air Cleaning,,23 40 00
Air Cleaning HVAC,D305050,23 40 00
Air Cleaning HVAC Outside Air,D306070,23 40 00
Air Coils,,23 82 16
Air Coils Cooling,D303070,23 82 16
Air Coils Heating,D302070,23 82 16
"Air Compressors and Receivers, General Service",D2050,22 15 19
Air Conditioners,D303070,
Air Conditioners Computer-Room,D303070,23 81 23
Air Conditioners Packaged Terminal,D303070,23 80 13
Air Conditioners Room,D303070,23 81 16
Air Conditioners Self-Contained,D303070,23 81 19
Air Conditioners Split-System,D303070,23 81 26
"Air Distribution, HVAC",D305050,
"Air Distribution, HVAC Duct Accessories",D305050,23 33 00
"Air Distribution, HVAC Outlets and Inlets",D305050,23 37 00
"Air Distribution, HVAC Plenums and Chases",D305050,23 32 00
"Air Distribution, HVAC Terminal Units",D305050,23 36 00
Air-Admittance Valves,D202030,22 13 19.36
Air-Borne Particulate Collection Systems,D306030,
Aircraft Passenger Loading Bridges,D103050,34 77 13
Airfields,G2040,
Airfields Control Equipment,G204080,34 77 13
Airfields Landing Equipment,G204080,34 43 16
Airfields Lighting,G204070,26 56 00
Airfields Signaling and Control Equipment,G204080,34 43 00
Airfields Signals,G204080,34 43 13
Airfields Traffic Control Tower Equipment,G204080,34 43 19
Air-Handling Units,D305050,
Airport Special Procedures,Z102070,01 35 13.13
Air-Source Heat Pumps,D303070,23 81 43
Air-Supported Fabric Structures,F102010,13 31 13
"Air-Supported Structures, SF",F1010120,
Air-to-Air Energy Recovery All Glass,D202060,23 72 00
Alarm Detection Sensors,D705030,
All Glass Entrances Exterior,B205010,08 42 26
All Glass Entrances Interior,C103020,08 42 26
All Glass Storefronts,,08 43 26
Allowances,Z101010,01 21 00
Alteration Project Procedures,Z102070,01 35 16
Alternates,Z101030,01 23 00
Aluminum Doors Interior and Exterior,,08 11 16
Aluminum Framed Storefronts,,08 43 13
Aluminum Metal Decking,,05 33 00
Aluminum Metal Joists,B101010,05 25 00
Aluminum Windows Interior and Exterior,,08 51 13
Amendments,Z101060,01 26 43
Amusement Park,F105050,
