model_name,model_id,coordinate,Family,Category,Unit_Of_Measure,Location,Level,Location_Line,Area,Volume,Phase_Created,Function,Structural_Material,Assembly_Code,ML_filled,z-height,x,level_group,keyword,MF_Number
450mm,122477,"{'x': -97.13545989990234, 'y': 86.89057922363281, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122477],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708646445,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122478,"{'x': -97.13545989990234, 'y': 62.89058303833008, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122478],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708646319,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122479,"{'x': -97.13545989990234, 'y': 52.22391319274902, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122479],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708647551,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122480,"{'x': -97.13545989990234, 'y': 31.557249069213867, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122480],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708648777,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122481,"{'x': -97.13545989990234, 'y': 10.890582084655762, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122481],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.55663897086467,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122482,"{'x': -97.13545989990234, 'y': -9.776084899902344, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122482],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708646503,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122483,"{'x': -97.13545989990234, 'y': -30.44275188446045, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122483],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708646691,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122484,"{'x': -97.13545989990234, 'y': -51.109418869018555, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122484],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708651255,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122485,"{'x': -97.13545989990234, 'y': -61.776084899902344, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122485],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708643984,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122486,"{'x': -97.13545989990234, 'y': -85.77608489990234, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122486],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.556638970864328,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122487,"{'x': -97.13545989990234, 'y': -16.151085376739502, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122487],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708650059,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
450mm,122488,"{'x': -97.13545989990234, 'y': 16.86171054840088, 'z': -1.3943562507629395}",M_Concrete-Round-Column [122488],Revit Structural Columns,autodesk.unit.unit:cubicMeters-1.0.1,-1,2,,,0.5566389708648505,New Construction,,Concrete - Cast-in-Place Concrete - 28 MPa,B101010,0,-1.3943562507629395,-97.13545989990234,-1.0,Revit Structural Columns  Concrete - Cast-in-Place Concrete - 28 MPa,"['05 25 00', '03 30 00', '05 44 00', '05 42 00', '06 18 16', '06 18 13', '06 13 00', '06 13 00', '06 13 26', '05 20 00', '06 17 36', '06 17 33']"
